path,f_name,f_type,f_size_Kb,f_mtime,Owner,Modified_file_size
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\scanner.py,scanner,.py,3,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\sphinxext.py,sphinxext,.py,7,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\style.py,style,.py,6,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\token.py,token,.py,6,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\unistring.py,unistring,.py,61,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\util.py,util,.py,9,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\__init__.py,__init__,.py,2,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\__main__.py,__main__,.py,0,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\filters\__init__.py,__init__,.py,39,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\filters\__pycache__\__init__.cpython-312.pyc,__init__.cpython-312,.pyc,37,2025-06-11 14:37:11,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\_mapping.py,_mapping,.py,4,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\__init__.py,__init__,.py,5,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\__pycache__\_mapping.cpython-312.pyc,_mapping.cpython-312,.pyc,4,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\__pycache__\__init__.cpython-312.pyc,__init__.cpython-312,.pyc,6,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py,python,.py,52,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\_mapping.py,_mapping,.py,75,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\__init__.py,__init__,.py,11,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\__pycache__\python.cpython-312.pyc,python.cpython-312,.pyc,41,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\__pycache__\_mapping.cpython-312.pyc,_mapping.cpython-312,.pyc,68,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\__pycache__\__init__.cpython-312.pyc,__init__.cpython-312,.pyc,14,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\styles\_mapping.py,_mapping,.py,3,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\styles\__init__.py,__init__,.py,1,2025-06-11 14:37:05,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\styles\__pycache__\_mapping.cpython-312.pyc,_mapping.cpython-312,.pyc,3,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\styles\__pycache__\__init__.cpython-312.pyc,__init__.cpython-312,.pyc,2,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\console.cpython-312.pyc,console.cpython-312,.pyc,2,2025-06-11 14:37:11,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\filter.cpython-312.pyc,filter.cpython-312,.pyc,3,2025-06-11 14:37:11,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\formatter.cpython-312.pyc,formatter.cpython-312,.pyc,4,2025-06-11 14:37:11,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\lexer.cpython-312.pyc,lexer.cpython-312,.pyc,37,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\modeline.cpython-312.pyc,modeline.cpython-312,.pyc,1,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\plugin.cpython-312.pyc,plugin.cpython-312,.pyc,2,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\regexopt.cpython-312.pyc,regexopt.cpython-312,.pyc,3,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\scanner.cpython-312.pyc,scanner.cpython-312,.pyc,4,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\sphinxext.cpython-312.pyc,sphinxext.cpython-312,.pyc,11,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\style.cpython-312.pyc,style.cpython-312,.pyc,6,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\token.cpython-312.pyc,token.cpython-312,.pyc,8,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\unistring.cpython-312.pyc,unistring.cpython-312,.pyc,32,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
C:\Users\Admin\OneDrive\Desktop\Python\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__\util.cpython-312.pyc,util.cpython-312,.pyc,13,2025-06-11 14:37:12,DESKTOP-L6P3D7M\Admin,0
